uid	text
377213364	Индийский мужчина и женщины, посещающие встречу.
2660601299	Мужчина держит белокурого ребенка в бассейне.
986440271	Женщина в красном цветочном платье с кардиганом делает фотографию на природной тропе, держа радужную зонтику.
987907964	Две собаки бегают через зеленый двор
2964438493	Две собаки борются в детском бассейне.
1428681303	Двое детей, поднимающихся на вершину искусства.
925491651	Собака выпрыгивает из воды в озере.
4743795506	Человек в белой футболке стоит на подиуме, выступая за речь, в то время как еще один человек в красной рубашке поло стоят за ним.
2736991184	Толпа наслаждается шоу некоторых музыкантов.
4968323199	Человек в шлеме стоит.
2731298834	Женщина и дети плавают в озере.
3185863735	Музыка собирается в студии.
6041486114	Двое мужчин, один сидящий, один стоящий, играют свои гитары на сцене, а зрители смотрят.
6209169496	Тренер, демонстрирующий орла толпе.
227585300	Группа мужчин переполнена в дверной проем ночью, стоящий под знаком фестиваля R и B.
2989386106	Фермер складывает пшеницу в сноши.
3686889377	Женщина рука моет посуду в раковине.
3354414391	Две собаки играют на траве.
5646792433	Двое детей, один в желтой рубашке, а другой в красных сапогах, качаются на качелях на детской площадке.
5415070045	Женщина в апельсиновой рабочей одежде рядом с большой синей мусорной корзиной помогает мужчине подметать немного грязи и воды в пыль.
2173831145	Два человека в темных капюшонах, один в черной рубашке, один в зеленой рубашке, окружены ветвями.
3189521080	Птица плескает в потоке.
6386779555	Темнокожий мужчина в белых рубашках и рубашка черного без рукавов переворачивает свой скейтборд на цементной поверхности, окруженной высокими зданиями и пальмами.
2902486045	Две собаки мочатся на красном пожарном гидранте.
149934002	Ковбои на лошадях перед голубым небом.
3371919733	Улыбающаяся женщина полиции, держащая синий топор и носит ул. Патриковые памятные вещи, идущие перед собравшимися зрителями.
562588230	Девушка играет в маленьком бассейне.
2506892928	Трое детей позируют среди полевых цветов.
231673877	Двое мужчин на лодке, один ловит рыбу.
2705104779	Несколько человек вымывают красный пикап, один из которых стоит в кровати грузовика в красной рубашке и синих шортах, мыть заднее окно.
2774267559	Человек в черной шляпе обладает картиной.
3704836369	Два истребителя UFC герметируют это на коврике.
6826996355	Четыре бегуна участвуют в гонке, на внутреннем курсе, украшенные множеством разноцветных международных флагов.
2690016300	Молодые девушки делают художественный проект.
4414009112	Группа записывает свое живое шоу.
6950137939	Черно -белые игроки в регби команды борются над мячом перед белой стеной с синим письмом.
3623047508	Сцена со старой аудиторией на заднем плане - оркестр впереди, играя музыку, и люди, носящие каски, на переднем крае.
4146483752	Мальчик делает свою стрижку.
3268301633	Мужчины, работающие над проектом.
4893339483	Азиатский мужчина со очками, стоящим с руками, скрещены перед рекламой Infineon Technologies.
4980323529	Люди, стоящие на улице.
1348517311	Один парень боулинг зеленый мяч для боулинга.
424506167	Две собаки, стоящие на поле.
2684878115	Человек в длинном синем халате и черных брюках приседает рядом с двумя туристическими мешками, чтобы сыграть черно -золотую струнный инструмент на булыжном тротуаре.
349394363	Мужчина и жена в голубых куртках и еще один молодой человек стоял вместе у ручья.
4511377649	Женщина, одетая в розовый цвет и ее спутник, мужчина в пледа, смотрит на карту центрального парка в Нью-Йорке, в качестве велосипедиста и конной перевозки, пропускают их на заднем плане.
218556922	Группа мужчин разных возрастов в очках, удерживая инструменты и глядя на ноты.
325015111	Человек готовится свернуть мяч для боулинга между ногами, в то время как другой человек наблюдает за следующей полосой.
3454315016	Белая птица в воде готовится летать.
4838314321	Латиноамериканская женщина с цветами на ухе танцует, а латиноамериканский мужчина играет на гитаре на заднем плане.
3454149297	Маленькая девочка пытается бросить фрисби.
4936228037	Азиатская женщина со шляпой стоит на пирсе, держась на длинной палке с двумя черными птицами, сидящими на нем, в то время как мужчина на берегу делает фотографию
6303184938	Человек, носящий лабораторные перчатки, просматривает микроскоп, который сидит на металлическом стойке.
5950363786	Женская гимнастка делает перевернут, как это запечатлено на фото ногами в небе, и он направляется к земле.
2929181389	Выстрел нескольких человек в прачечной.
13880312	Женщина стоит на выпускном мероприятии.
4770851749	женщина, работающая над чтением компьютера.
3094568845	Дым приходит из машины в профессиональной гонке
2102835360	Парад людей в розовых маршах.
3638992163	Собака прыгает через обруч.
219730733	Парк развлечений .
4776818689	Женщина с каштановыми волосами в солнцезащитных очках и белой цветочной повязкой стоит перед микрофоном, в то время как мужчина на заднем плане держит Маракаса и играет на барабанах.
3124964754	Скейтбордист шлифовал ствол.
5790840713	Люди на своей работе создают одежду.
234241682	Футбольная игра на закате
4557656065	Маленький мальчик, использующий видеокамеру.
4931380548	Два парня, один парень, я избавляю от белой лошади.
364542005	Автомобили, покрытые снегом, с человеком, идущим с снежным плугом на тротуаре перед снежными транспортными средствами.
241345656	Улыбающаяся танцовщица, одетая в красное, находится на футбольном поле с поклонниками в трибунах стадиона позади нее.
5094295894	Один молодой футболист в белой майке, который борется с другим игроком в синей майке от команды противника, чья товарищ по команде приезжает, чтобы помочь ему.
2448210587	Женщина и собака сидят на пни.
4445047293	Человек в джинсах и белые кроссовки делает обратную часть перед группой зрителей в танцевальной студии.
3216762979	Мальчик в поле
2991205926	Девушка, одетая в костюм на Хэллоуин, несет мешок с конфетами и косу с фонариком Джека-О на крыльце на заднем плане.
4434578155	Пара смотрит на фотографии в галерее.
109738763	Человек на снегоходе в среднем прыжке.
3363622599	Группа средней школы идет на параде.
303102907	Студенты сдают экзамен.
5843713244	Две женщины танцуют вместе.
3825049160	Двое мужчин в оранжевых жилетах и ​​касках стоят у основания незаконченного здания и работают над тем, чтобы что -то поднять.
5445530361	Двое мужчин путешествуют в каноэ.
2315325912	Две девушки украшают дисплей.
494907021	Группа детей, играющих с реквизитом
3061422245	Человек, несущий много сумок.
2844654521	Несчастная женщина идет по улице.
2834973135	Девушка в красном, стоящая на песке, в то время как девушка в голубых царапает спиной, сидя на песке.
1153704539	Девушка играет на трубе в марширующей группе
46458329	Мужчина в кепке, носящий рубашку или туфли, сидит в синем кресле на мощной улице и рисует на холсте.
132955537	Молодой мальчик, одетый в каратэ и носив желтый пояс, готовится защитить себя в спортзале.
3939554170	Маленькая девочка в музее.
2458862292	Афроамериканец стоит у своей машины.
2773400732	Девушка с черными перчатками бежит.
7700027818	Человек на велосипеде по дороге и наслаждается.
2909609550	Собака смотрит на еду, которую держат человека.
485356704	Черная женщина в здании отдает кому -то карту, она носит униформу работника.
2438726098	Любопытный маленький мальчик, смотрящий улитку.
1402641725	Четверо детей играют на песчаной дюне.
3839127400	Маленькая девочка наслаждается днем ​​на пляже.
2553619107	Человек в желтом каяке падает в порогах.
421808539	Собака, идущая по снегу
2202625355	Мальчик с красными стволами пинает и улыбается, когда он падает обратно после того, как человек бросил в воздух человеком, стоящим в глубокой воде талии.
1034276567	Мальчик ест пиццу над жестяным блюдом.
2588625139	Двое детей с хулами.
3017656907	Три ледяного фигуриста за углом.
4783077148	Мужчина в майке и шортах сидит, разговаривая с женщиной, одетой в красное платье, держась за бутылку за пределами здания.
4863764261	Человек сидит на шаге.
1021332107	Человек, демонстрирующий свое новое деревянное творение.
4847012655	Люди гуляют в оживленном городе.
4447160600	Полицейский стоит возле церкви.
5062422406	Гольфист поднимает свой клуб для качели, стоя рядом с кэдди и человеком, держащим знак с игрой.
6077676085	Девушка с синей рубашкой живопись
1088767354	Двое молодых людей приближаются к яркой молодой женщине, одетой в красное бикини и красную пернатую головку.
